node ID: 2302, ground truth SMILE: C1=CC=C(C(=C1)C(=O)O)C(=O)O
smiles: CC1=C(C(=NN1C)C)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00611
smiles: CC(C)CCO[C@@H]1CN(CCN(CCCCOC[C@H]([C@H]1O)O)CC2=CC=NN2C(C)C)C(=O)C, s:  0.00609
node ID: 7933, ground truth SMILE: COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
top 10 test cadidates: 
smiles: CC1=NC(=CC(=O)N1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00043
smiles: CC1=CC(=NC(=O)N1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00043
smiles: COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00042
smiles: COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00042
smiles: COC1=CC(=NN=C1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00042
smiles: CC1=CC(=O)NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00042
smiles: C1=CC(=CC(=C1)S(=O)(=O)N)NC(=O)C2=CC(=CN2)N, s:  0.00042
smiles: CN1C=CC(=NC1=O)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00042
smiles: COC1=NC=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00042
smiles: COC1=NC(=CN=C1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00042
node ID: 7887, ground truth SMILE: CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
top 10 test cadidates: 
smiles: CC1=CC(=C(C(=C1)C)N([C@@H](C)C(=O)O)C(=O)COC)C, s:  0.00009
smiles: CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC, s:  0.00009
smiles: CC1=C(C(=CC=C1)C)N(CC(C)C(=O)O)C(=O)COC, s:  0.00008
smiles: CC1=C(C(=CC=C1)C)N(C(C)OC(=O)C)C(=O)COC, s:  0.00008
smiles: CC1=C(C(=CC=C1)C)N(CC(C)C(=O)O)C(C)C(=O)O, s:  0.00007
smiles: CC1=C(C(=CC=C1)N(C(C)C(=O)OC)C(=O)COC)C, s:  0.00007
smiles: CCC1=CC=CC(=C1N(CCC(=O)O)C(=O)COC)C, s:  0.00007
smiles: CC1=C(C(=CC=C1)C)N(C(=O)COC)C(C)(C)C(=O)O, s:  0.00007
smiles: CC1=C(C(=CC=C1)N(CC(C)C(=O)O)C(=O)COC)C, s:  0.00007
smiles: CC1=C(C(=CC=C1)C)N(C(CC=O)OC)C(=O)COC, s:  0.00007
node ID: 10169, ground truth SMILE: CCCCCC=CCC=CCCCCCCCC(=O)NCCO
top 10 test cadidates: 
smiles: CC1(CCCC1=C)CCC(CCN)C2(CCC(CC2CO)O)C, s:  0.00273
smiles: CCCCC/C=C/C/C=C/CCCCCCCC(=O)C(CO)N, s:  0.00271
smiles: CCCCC/C=C\C/C=C\CCCCCCCC(=O)C(CN)O, s:  0.00271
smiles: CCCCC/C=C\C/C=C\CCCCCCCCC(C(=O)O)N, s:  0.00271
smiles: CCCCCCCCCCCCCC=CC=CC(=O)C(CN)O, s:  0.00270
smiles: CCCC[C@H](C)/C=C\C/C=C\CCCCC[C@@H](C)C(C(=O)O)N, s:  0.00270
smiles: CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CN, s:  0.00270
smiles: CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCN, s:  0.00270
smiles: CCCCCC/C=C/C=C/CCCCCCCC(=O)OCCN, s:  0.00269
smiles: CCCCCCCCC1=CC=CC(C1CCC(CO)(CO)N)C, s:  0.00268
node ID: 8081, ground truth SMILE: CCCCCCC=CCCCCCCCC(=O)OCC
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCC/C=C/C=C/OO, s:  0.00063
smiles: C(CCCCCCCCO)CCCCCCCC#CO, s:  0.00063
smiles: CCCC(C#CCCCCCCCCCCCCO)O, s:  0.00063
smiles: CCCCCCCCCCCCCC#CC[C@@H](CO)O, s:  0.00063
smiles: CCCCCCCCCCCCCC#CC(CCO)O, s:  0.00063
smiles: CCCCC/C=C/C=C/[C@H](CCCCCCCCO)O, s:  0.00063
smiles: CCCCCCC(C=C=CCCCCCCCCO)O, s:  0.00063
smiles: CCCCCC(CCCCCCCCC=CC=CO)O, s:  0.00063
smiles: CC(=CCCC(=CC(CCCCCCCCO)O)C)C, s:  0.00063
smiles: CCCCCCCCCCCCCCCC#CC(O)O, s:  0.00063
node ID: 10926, ground truth SMILE: CCCCCCCCCCCCCCCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCCCCCCC/C=C\CCCCCOCNCCC, s:  0.00361
smiles: CCCCCCCCCCCCCCCCCCC1C(CCN1)O, s:  0.00360
smiles: CCCCCCCCCCCCCCCCCCC1CC(CN1)O, s:  0.00360
smiles: CCCCCCCCCCCCCCCCCC/C=C/C(CN)O, s:  0.00360
smiles: CCCCCCCCCCCCCCCCCCC1CNCC1O, s:  0.00360
smiles: CCCCCCCCCCCCCCCCCC/C=C/C(CO)N, s:  0.00360
smiles: CCCCCCCC/C=C\CCCCCCCCC(CN(C)C)O, s:  0.00360
smiles: CCCCCCCCCCCCCCCCCCC1CNCCO1, s:  0.00360
smiles: CCCCCCCC/C=C\CCCCCCCC[C@H]([C@@H](CC)N)O, s:  0.00360
smiles: CCCCCCCCCCC1CC1CCCCCCOCCNC, s:  0.00359
node ID: 9353, ground truth SMILE: CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
top 10 test cadidates: 
smiles: CC(C)(C)C(C(CCC1=CC=C(C=C1)Cl)N2C=NC=N2)O, s:  0.00030
smiles: CCC(C(C(C)(C)CC1=CC=C(C=C1)Cl)O)N2C=NC=N2, s:  0.00027
smiles: CC1=C(C=CC(=C1)Cl)CC(C(C(C)(C)C)O)N2C=NC=N2, s:  0.00027
smiles: CC(C)(C)C(C(CC1=CC=C(C=C1)Cl)N2C=NC=N2)OC, s:  0.00026
smiles: CC(C)(C)C(C(CC1=CC=C(C=C1)Cl)CN2C=NC=N2)O, s:  0.00026
smiles: CC(CC1=CC=C(C=C1)Cl)C(C(C)(C)CN2C=NC=N2)O, s:  0.00024
smiles: CC(C)(C)C(C(CCC1=CC(=CC=C1)Cl)N2C=NC=N2)O, s:  0.00024
smiles: CC(C)(C)C(C)(C(CC1=CC=C(C=C1)Cl)N2C=NC=N2)O, s:  0.00024
smiles: CCCCC(C(CCC1=CC=C(C=C1)Cl)O)N2C=NC=N2, s:  0.00023
smiles: CCCCC(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O, s:  0.00022
